id,best_version,times_written,variation_count,rating,sounds_like,maturity_rating,length_tag,subject_tags,style_tags,set_usage,all_variations
J0011,Period sex in Texas castle law tag.,15,6,97,Anthony Jeselnik,R / club material,short,dating/sex | true crime/dark,dark | relationship | personal,Good People Lounge 30 minutes | Green light mic Feb 4 | Shelbyville 15 minutes | Third coast 11/18 | Third coast roast the host,Period sex in Texas castle law tag. | Period sex in Texas Tag Can't kill a baby in Texas unless it come up on your front porch uninvited. Like the castle law but for fetuses. The Bounce castle law. | Castle Law/period sex in Texas. | Period sex in Texas. | Texas period sex. | Period sex.
J0012,Strip club tag Tim Burton Zaddy Do you think Tim Burton knows how many girls he inspired to be strippers?,16,10,93,Dave Attell,PG-ish,short,misc/observational,observational,Cup of Kava (10 min) | Cup of Kava set | Dirty Mic/Lab Rat Sep 4 2024 | Good People set (15 min) | Plane Jane set (10 min) | Stoned Cold Sober set | Superhero set (5 min),"Strip club tag Tim Burton Zaddy Do you think Tim Burton knows how many girls he inspired to be strippers? | Tim Burton toxic women Think Tim Burton has any idea how toxic women he made? I don't know a single stripper without a jack skellington tattoo. | Do you think Tim Burton has any idea how many strippers he made? Well, him and poverty. | Tim Burton knows how many women he inspired to be strippers? | Tim Burton know how many strippers he's made. | Tim Burton worked for Disney for a bit. | Tim Burton is walt Disney for strippers. | Tim Burton use to work for Disney. | Tim Burton Toxic women. | Tim Burton Disney Toxic."
J0013,My girlfriend pees in the bed If I ask her nice.,21,7,90,Nikki Glaser,PG-ish,short,dating/sex,relationship | personal,"Bathroom set (4 min) | Cup of Kava (10 min) | Dive motel 10 min set | Good People set (15 min) | Greenlight (project, sing) | Third Coast 4 min",My girlfriend pees in the bed If I ask her nice. | My girlfriend started peeing the bed. | Girlfriend recently started peeing the bed. | Girlfriend is bad at sex. | Girlfriend Pee the bed. | Girlfriend mom fight. | Girlfriend pee.
J0014,Lady proctologist missing a pinky. Used to be a dentist opposite end of the sp rectum.,19,9,90,Mitch Hedberg,PG-ish,short,misc/observational,observational,Bathroom set (4 min) | Cup of Kava (10 min) | Garage sale vintage/ Third Coast | Good People set (15 min) | Third Coast,Lady proctologist missing a pinky. Used to be a dentist opposite end of the sp rectum. | Pinky the proctologistripper Proctologist missing a finger Said she use to be a dentist This side doesn't have teeth Still but you if you're not careful. Stripper named Pinky Used to be a proctologist. | Lady proctologist tag So far I've never been bit on this end. | Lady proctologist missing a pinky used to be a dentist. | Lady proctologist opposite end of the sprectum. | Lady proctologist haven't been bit yet. | Opposite end of the sp. rectum. | Lady proctologist missing a finger. | Lady proctologist.
J0015,Gender neutral bathroom used to he a women's room. Little metal box.,18,6,90,Bill Burr,PG-ish,short,misc/observational,observational,5 spot Halloween 10/16/22 | Dive Motel Birthday Show headlining set. | Mouthhole | Perfect Timing may 18 | Stoned Cold Sober set | Third Coast | Third Coast 4 min,"Gender neutral bathroom used to he a women's room. Little metal box. | Not even the women's room. All gender bathrooms. | Gender neutral bathroom rules, ladies leave the seat up. | Gender neutral bathroom stall. | Gender neutral bathrooms. | Gender neutral hn."
J0016,Suicide is selfish Noone should ever kill themself... without killing a politician first.,16,3,90,Anthony Jeselnik,R / club material,short,true crime/dark,dark,Childrens show | Cup of Kava set | Dive Motel Birthday Show headlining set. | Perfect Timing may 18 | Plane Jane set (10 min) | Shelbyville 15 minutes | Smokes n Jokes 5 min | Stoned Cold Sober set,Suicide is selfish Noone should ever kill themself... without killing a politician first. | That's not funny. Suicide is selfish. | Suicide.
J0017,He was tall and handsome I look like if the Tiger King sold psychedelics.,12,7,90,Norm Macdonald,PG-ish,short,misc/observational,personal | observational,"Bathroom set (4 min) | Comedy Caravan 10/19/22 | Cup of Kava (10 min) | Dirty Mic/Lab Rat Sep 4 2024 | Good People set (15 min) | Greenlight (project, sing) | Smokes n Jokes 5 min | Stoned Cold Sober set | Third Coast | The Lab 10/2/24",He was tall and handsome I look like if the Tiger King sold psychedelics. | Called me Joe psychedelic. Could be worse#comedyset. | The backstreet boy that sold psychedelics. | Backstreet boy that sold psychedelics. NSYNChronicity. | If Aaron Carter sold psychedelics. | Joe exotic sold psychedelics. | He was tall and handsome.
J0018,Judas Hufflepuff slitheryn for sure. Ravenclaw at best.,11,5,90,Mitch Hedberg,PG-ish,short,misc/observational,observational,East room open mic | Good People Lounge 30 minutes | Standup Showcase 8 min | Wiseguys 1/25/23 (3 mins),Judas Hufflepuff slitheryn for sure. Ravenclaw at best. | Hufflepuff judas Ravenclaw at best. | Judas hufflepuff. | Hufflepuff judas. | Hufflepuff judaa.
J0019,Tattoo of Jack skellington signing a child support check. Nightmare before the Christmas that her dad left.,9,4,90,Norm Macdonald,PG-ish,short,family,observational,Dirty Mic/Lab Rat Sep 4 2024 | Dive Motel Birthday Show headlining set. | Good People Lounge 30 minutes | Lowbar Feb 26 | Standup Showcase 8 min | Stoned Cold Sober set,Tattoo of Jack skellington signing a child support check. Nightmare before the Christmas that her dad left. | Kinda girl with a tattoo on her back of jack skellington signing a child support check. | Tattoo on the back of her thigh of jack skellington signing a child support check. | Back tattoo of Jack skellington signing a child support check.
J0020,Ex used to get kicked out of metal shows for scaring the band.,8,3,90,Mitch Hedberg,PG-ish,short,dating/sex | pop culture,observational,Cup of Kava set | Dive Motel Birthday Show headlining set. | Perfect Timing may 18,Ex used to get kicked out of metal shows for scaring the band. | Kicked out of metal shows for scaring the bands. | Banned from metal shows for scaring the bands.
J0021,"Dancers named Passion, obsession, post partum depression. Lexapro.",6,5,90,Mitch Hedberg,PG-13,short,dating/sex,observational,5 spot Halloween 10/16/22 | Mouthhole,"Dancers named Passion, obsession, post partum depression. Lexapro. | Passion obsession clinical depression, lexapro. | Passion obsession clinical Dept. | Passion-obsession-depression-lexapro. | Passion obsession clinical depression."
J0022,Not gay. Just a 37yr Emo Kid. My chemical midlife crisis.,6,2,90,John Mulaney,PG-ish,short,family,personal,5 spot Halloween 10/16/22 | Comedy Caravan 10/19/22 | Lucky Duck 9/22/22 | Mouthhole | Nashville All Stars 8 min (CLEAN) | The Lab 10/2/24,Not gay. Just a 37yr Emo Kid. My chemical midlife crisis. | My chemical mid life crisis.
J0023,If Guy Fieri went town to town trying the best local party drugs. Gonna take you on a molly rocking road trip to ravertown.,7,5,89,Mitch Hedberg,R / club material,short,drugs/sobriety,personal,Dive motel 10 min set | Third coast,If Guy Fieri went town to town trying the best local party drugs. Gonna take you on a molly rocking road trip to ravertown. | Take you on a Molly Rocking road trip to Ravertown. | Guy Fieri best local Party Drugs. | Rockin road trip to raver town. | Guy fieri party drugs.
J0024,Book of Escobar 13 the thirteenth apostle.,30,4,88,Mitch Hedberg,PG-ish,short,misc/observational,observational,"5 spot Halloween 10/16/22 | Bathroom set (4 min) | Cup of Kava (10 min) | Cup of Kava set | Dive motel 10 min set | Good People set (15 min) | Greenlight (project, sing) | Mouthhole | Music Row Comedy Show | Plane Jane set (10 min) | Shelbyville 15 minutes | Standup Showcase 8 min | Stoned Cold Sober set | The lab Sep 25 | Third Coast 4 min | Third coast 11/18 | Dive Motel Birthday Show headlining set.",Book of Escobar 13 the thirteenth apostle. | Book of Escobar. | Escobar 8:13. | Escobar 13:8.
J0025,We all got microplastics in our nuts Regardless of who you voted for We all got microplastics in our nuts.,8,4,88,Mitch Hedberg,PG-ish,short,misc/observational,observational,Cup of Kava set | Third Coast | Third Coast 4 min,We all got microplastics in our nuts Regardless of who you voted for We all got microplastics in our nuts. | 39 microplastics in my dad's nuts. | Microplastics in my dad's nuts. | 39 microplastics.
J0026,Prenup party. Like a bachelor party but because she signed the prenup.,5,3,88,Demetri Martin,PG-ish,short,misc/observational,observational,East room open mic,Prenup party. Like a bachelor party but because she signed the prenup. | Prenup party joke. | Prenup Party.
J0027,Super Jeffrey Dahmer Tag Like if Buffalo Bill from silence of the lambs liked butts instead of wearing the skin of women.,21,8,87,Bill Burr,PG-ish,short,body/medical | pop culture | misc/observational | dating/sex | family | true crime/dark | work/money | technology,observational | dark | personal | relationship,5 spot Halloween 10/16/22 | Comedy Caravan 10/19/22 | Good People Lounge 30 minutes | Imported laughs sep 17 2022 BG KY | Lucky Duck 9/22/22 | Mouthhole | Shelbyville 15 minutes | Standup Showcase 8 min,"Super Jeffrey Dahmer Tag Like if Buffalo Bill from silence of the lambs liked butts instead of wearing the skin of women. | Lakeside 2/21/23 Tiger King Tattoo shop Super spreader for autism Passive aggressive schizophrenic Super Jeffrey Dahmer Supergirl Blow through a straw Pokemon please stay Stolen Hoodie Lady proctologist dentist Progressive smaller fingers Spermologist Jizzicist Slave One Guages Pluto astrojizzicist Strip club grocery store Comic Strips mental illness Pinky the proctologist. | Bowery vault 2/22/23 Tiger King Tattoo Shop Don't sell drugs Small festivals covid Face tattoo 810 Super Jeffrey Dahmer Supergirl Picture Day Swallowed whole Spermologist jizzicist Guages Blow through a straw Pokemon please stay Stolen Hoodie Lady proctologist dentist Circa survivors My chemical midlife crisis Hair starting to fall out boy Aching back Sunday Jimmy eat zantac I write sins not tragedies Panic at the Costco Slave One Pluto astrojizzicist Strip club grocery store Pinky the proctologist. | Coco 2/20/23 Tiger King on Acid Joe psychadelic Super Jeffrey Dahmer Supergirl Blow through a straw Pokemon please stay Stolen Hoodie Circa survivors My chemical midlife crisis Hair starting to fall out boy Aching back Sunday Jimmy eat zantac I write sins not tragedies Panic at the Costco Lady proctologist dentist Progressive smaller fingers Spermologist Jizzicist Slave One Guages Pluto astrojizzicist Strip club grocery store Pinky the proctologist. | Grandpa bar Super Jeffrey Dahmer Hyperhidrosis Reverse x ray vision Supergirl Spiderman super sensitive Blow thru a straw Ex Pokemon Pokemon please stay Gonna get her back/She's dead Spermologist Gauges Pluto astrojizzicist Bounce Castle law. | Helens 4/22/23 Hyperhidros power to become super sweaty in seconds Shirt used to have sleeves but they drowned Not superman should call me moist boy. Sweat so much my sweat is sweating from sweating so hard Reverse xray vision Swallowed whole Supergirl moist girl Super Jeffrey Dahmer Spider-man Blow thru a straw Pokemon please stay Screamachu Peter pan syndrome Creepy Aladdin Slave one Strip club grocery store. | Super Setlist Super Jeffrey Dahmer Bisexual Buffalo Bill John Wayne Maybe Gacy Tiger king sold extacy, tattoo shop, mushroom farm. Supergirl Backwards Xray Vision Picture Day Swallowed whole Practicing lesbian. One day she'll go pro. Blow through a straw Pokemon Go Screamachu Pokemon Please Stay Stolen hoodie Sex six times since then She broke my heart though Terrified of women Women and spiders Not anymore lady proctologist used to be a dentist My chemical midlife crisis Jimmy eat Tums cuz Jimmy ate pepperoni pizza before bed. Hair starting to fall out boy Sugar it hurts when I'm leaning Aching back Sunday I write checks not tragedies Panic at the Costco Singing Disney songs Creepy Aladdin For profit prison inmate one Congolese children mining cobalt for iphones wouldn't fit on the Lego box. Health insurance tied to employment so work or die Guages Value vet, oncology on a budget. Tom and xTony'sx discount gynecology Comic strips Lex short for lexapro Stripper proctologist Strip club grocery store Turning tricks at a turnip truck Ho foods Male club woulda been an Aldi's Spermologist Jizzicist GTA comedy THCeh TH AOC Delta 8 killed Osama bin laden Pluto Astrojizzicist All intensive purposes #comedyset. | Super Jeffrey Dahmer."
J0028,She was the spookiest. Fired from hot topic for scaring the customers.,7,2,87,Nikki Glaser,PG-ish,short,misc/observational,observational,Dirty Mic/Lab Rat Sep 4 2024 | Good People Lounge 30 minutes | Shelbyville 15 minutes | Stoned Cold Sober set,She was the spookiest. Fired from hot topic for scaring the customers. | Last girlfriend got fired from hot topic for scaring the customers.
J0029,P3 open count 5 Cake crasher 7 G45 7 White runtz 13 Modified grape 11 Gush mint 15 Lava girl 5 Sugarcane 8 Wedding cake 3 Grandi 4 Inferno 10 Gary Payton Drawer: $250.74.,6,4,87,Mitch Hedberg,PG-ish,medium,dating/sex | work/money,relationship | absurd | personal,,P3 open count 5 Cake crasher 7 G45 7 White runtz 13 Modified grape 11 Gush mint 15 Lava girl 5 Sugarcane 8 Wedding cake 3 Grandi 4 Inferno 10 Gary Payton Drawer: $250.74. | P2 open count Cake crasher 12 Donny Burger 27 Monkey Berry 23 White runtz 9 Modified grape 12 Gush mint 20 Mach 1 8 Scoop of Chem 9 Lava girl 2 Sherbert cake 10 Sugarcane 13 Wedding cake 3 Inferno 14 Gary Payton 24 Bruce banner 23 Total 209 Drawer: $362.92. | P2 mid count 🎂 Cake crasher 11 🍔 Donny Burger 23 🐒 Monkey Berry 11 🤏 White runtz 8 🍇 Modified grape 3 💨 Gush mint 19 ✈️ Mach 1 2 🍨 Scoop of Chem 6 🍧 Sherbert cake 8 🍬 Sugarcane 12 🔥 Inferno 11 ⛹🏿 Gary Payton 20 🤢 Bruce banner 8 🧮 Total 142 💰 Drawer: $299.70. | P1 open count Cake crasher - 13 Cherry pie - 3 Gelato45 - 4 White runtz - 2 Modified grape - 13 Gush mint - 10 Mach 1 - 9 Gary Payton - 10 Yahemi - 14 Lava girl - 1 Sherbert cake - 27 Sugarcane - 16 Wedding cake - 16 Inferno - 22 Drawer : $350.02.
J0030,Skeptical airman All intensive purposes Any vets? Im a veteran of the United States Air Force. So let me tell you why shouldn't trust your government. #Jokes.,30,3,86,Mitch Hedberg,PG-ish,medium,misc/observational | technology,observational | personal,5 spot Halloween 10/16/22 | Comedy Caravan 10/19/22 | Cup of Kava set | Dive Motel Birthday Show headlining set. | Dive motel 10 min set | Good People Lounge 30 minutes | Good People set (15 min) | Killjoy Show | Mouthhole | Music Row Comedy Show | Nashville All Stars 8 min (CLEAN) | Plane Jane set (10 min) | Shelbyville 15 minutes | Stoned Cold Sober set | The Lab 10/2/24,Skeptical airman All intensive purposes Any vets? Im a veteran of the United States Air Force. So let me tell you why shouldn't trust your government. #Jokes. | All intensive purposes. | Intensive purposes.
J0031,Love me if a witch turned me into a cliturtle.,18,3,86,Mitch Hedberg,PG-ish,short,dating/sex,personal,Cup of Kava set | Dive Motel Birthday Show headlining set. | Good People Lounge 30 minutes | Killjoy Show | Perfect Timing may 18 | Shelbyville 15 minutes,Love me if a witch turned me into a cliturtle. | Witch Cliturtle. | Cliturtle witch.
J0032,All time low testosterone My credit is far from perfect.,9,3,86,Steven Wright,PG-ish,short,misc/observational,personal,East room open mic | Nashville All Stars 8 min (CLEAN),All time low testosterone My credit is far from perfect. | All time low testosterone credit scores far from perfect. | All time low testosterone.
J0033,Toxic Women here hurt a man doing the work to heal?,6,3,86,Bill Burr,PG-ish,short,work/money,observational,Third coast roast the host,Toxic Women here hurt a man doing the work to heal? | Hurt a man doing the work to heal? | Hurt a man doing the work trying to heal.
J0034,Witch clitortoise.,29,3,85,Mitch Hedberg,PG-ish,short,misc/observational,observational,"Bathroom set (4 min) | Cup of Kava (10 min) | Cup of Kava set | Dive Motel Birthday Show headlining set. | Good People Lounge 30 minutes | Good People set (15 min) | Greenlight (project, sing) | Killjoy Show | Perfect Timing may 18 | Plane Jane set (10 min) | Pressure mic (last one) | Shelbyville 15 minutes | Standup Showcase 8 min",Witch clitortoise. | Clitortoise TMNC. | Clitortoise.
J0035,Planned Parenthood punch cards / a couple pills fall off in a day or two.,7,2,85,Mitch Hedberg,PG-ish,short,work/money,observational,Cup of Kava set | Dive Motel Birthday Show headlining set. | Killjoy Show,Planned Parenthood punch cards / a couple pills fall off in a day or two. | Planned Parenthood punch cards.
J0036,You can save a life tonight. Two lives if you count strippers as people.,6,4,85,Dave Attell,PG-ish,short,misc/observational,observational,Stoned Cold Sober set,You can save a life tonight. Two lives if you count strippers as people. | Laughter could save two lives. | Save two lives tonight. | Save two lives.
